% Powerflow result exported at 2025-04-29 08:06:57
% BENCHMARK MODEL BASED ON SHANDONG POWER GRID
% SHANDONG UNIVERSITY, LI CHANGGANG
% Bus
BUS,NAME,VBASE/KV,VOLTAGE/PU,ANGLE/DEG,VOLTAGE/KV,ANGLE/RAD
30,"鲁枣庄市","1",314.900000,135.800000,1.000067
31,"鲁桂陵","1",620.500000,182.800000,0.994437
32,"鲁郓城","1",1095.000000,263.400000,0.997418
33,"鲁岱宗","1",732.700000,170.100000,0.996556
34,"鲁泰山","1",1298.000000,244.400000,1.000371
35,"鲁淄川","1",705.500000,110.700000,1.003672
36,"鲁儒林","1",636.000000,156.400000,0.996878
37,"鲁新泰","1",844.500000,193.100000,0.998074
38,"鲁鲁中","1",1648.000000,461.400000,0.998141
41,"鲁文亭","1",849.000000,203.600000,0.996358
42,"鲁金乡","1",763.200000,160.600000,0.999426
43,"鲁嘉祥","1",36.000000,12.000000,1.000461
44,"鲁汶上","1",413.000000,137.900000,1.000357
46,"鲁峄城","1",161.400000,63.400000,1.001962
50,"鲁日照","1",821.000000,165.600000,1.001540
50,"鲁日照","2",155.600000,46.400000,1.001540
51,"鲁巨峰","1",571.200000,188.300000,1.000823
52,"鲁莒南","1",843.100000,198.600000,1.001847
53,"鲁兰陵","1",1022.000000,175.200000,1.001108
54,"鲁沂蒙","1",1399.000000,172.300000,1.002039
55,"鲁沂南","1",1122.000000,378.200000,1.004723
59,"鲁昌乐","1",1289.000000,305.600000,1.001235
60,"鲁潍坊","1",846.300000,270.400000,0.998605
62,"鲁临淄","1",1226.000000,379.200000,0.998828
63,"鲁淄博","1",1056.000000,252.300000,0.996143
64,"鲁益都","1",1461.000000,243.300000,0.999550
65,"鲁管仲","1",454.300000,15.700000,1.002919
66,"鲁乔官","1",592.800000,11.600000,1.001594
67,"鲁临朐","1",534.900000,58.400000,1.001306
68,"鲁密州","1",912.600000,188.400000,1.001393
69,"鲁琅琊","1",526.900000,155.000000,1.001048
71,"鲁光州","1",1229.000000,330.900000,0.997453
72,"鲁栖霞","1",1025.000000,205.000000,0.998037
73,"鲁牟平","1",927.900000,113.000000,0.996208
74,"鲁昆嵛","1",253.100000,139.400000,0.998665
75,"鲁抽蓄","1",126.000000,165.600000,0.998989
76,"鲁大泽","1",886.400000,141.700000,1.000841
77,"鲁莱阳","1",1825.000000,367.100000,0.996740
79,"鲁即墨","1",549.300000,120.300000,1.000063
80,"鲁崂山","1",2107.000000,197.500000,0.999648
81,"鲁胶东","1",990.000000,163.600000,1.001418
82,"鲁官亭","1",350.400000,104.800000,1.001432
84,"鲁滨州","1",786.900000,220.100000,0.998314
85,"鲁富国","1",566.200000,118.800000,0.996360
86,"鲁海口","1",903.300000,378.300000,0.995565
88,"鲁垦东","1",423.300000,92.100000,0.997724
89,"鲁油城","1",568.000000,135.000000,0.999048
90,"鲁高青","1",1409.000000,243.900000,0.998959
92,"鲁寿光","1",1887.000000,597.600000,0.997383
% Line
IBUS,INAME,JBUS,JNAME,ID,PI/MW,QI/MVAR,PJ/MW,QJ/MVAR,II/KA,IJ/KA
2,"鲁邹县",35,"鲁淄川","1",45.196987,-126.601085,-45.151480,-94.984496,0.147618,0.115234
2,"鲁邹县",36,"鲁儒林","1",701.021139,35.953296,-699.392097,-61.919353,0.770824,0.774558
2,"鲁邹县",37,"鲁新泰","1",-124.495330,2.645724,124.588477,-94.878188,0.136743,0.172550
2,"鲁邹县",54,"鲁沂蒙","1",-319.969579,-57.054118,321.121121,-95.053742,0.356910,0.367538
3,"津海河",6,"鲁泉城特","1",0.000000,362.286325,0.002249,-455.670662,0.199017,0.250767
3,"津海河",6,"鲁泉城特","2",0.000000,-362.286325,0.002249,266.302093,0.199017,0.146553
4,"冀邢台UH",6,"鲁泉城特","1",-165.356518,495.987171,165.394550,-563.357878,0.286903,0.323115
4,"冀邢台UH",6,"鲁泉城特","2",-165.356518,-433.837375,165.394550,361.170563,0.254777,0.218611
4,"冀邢台UH",7,"鲁菏泽特","1",465.356518,-474.888840,-465.004306,-252.848647,0.364861,0.292848
4,"冀邢台UH",7,"鲁菏泽特","2",465.356518,8.848841,-465.004306,-728.719981,0.255413,0.478272
5,"豫驻马店",7,"鲁菏泽特","1",300.000000,537.768743,-299.788936,675.524281,0.342324,0.408900
5,"豫驻马店",7,"鲁菏泽特","2",300.000000,537.768743,-299.788936,675.524281,0.342324,0.408900
6,"鲁泉城特",8,"鲁枣庄特","1",-79.612432,-126.691217,79.622822,-102.422810,0.082344,0.071332
6,"鲁泉城特",8,"鲁枣庄特","2",-79.612432,-126.691217,79.622822,-102.422810,0.082344,0.071332
6,"鲁泉城特",10,"鲁昌乐特","1",-1097.641418,-100.324837,1099.210792,-75.813120,0.606577,0.605105
6,"鲁泉城特",10,"鲁昌乐特","2",-1097.641418,-100.324837,1099.210792,-75.813120,0.606577,0.605105
7,"鲁菏泽特",8,"鲁枣庄特","1",-649.193049,-180.487871,649.970354,-13.699362,0.372803,0.357460
7,"鲁菏泽特",8,"鲁枣庄特","2",-649.193049,-180.487871,649.970354,-13.699362,0.372803,0.357460
8,"鲁枣庄特",9,"鲁高乡特","1",-1496.556369,-58.048540,1499.468609,-8.311110,0.823489,0.821962
8,"鲁枣庄特",9,"鲁高乡特","2",-1496.556369,-58.048540,1499.468609,-8.311110,0.823489,0.821962
9,"鲁高乡特",10,"鲁昌乐特","1",526.565616,-262.067878,-526.342839,120.208491,0.322415,0.296503
9,"鲁高乡特",10,"鲁昌乐特","2",526.565616,220.908749,-526.342839,-360.965932,0.313014,0.350505
9,"鲁高乡特",48,"鲁沂南特","1",-1956.838927,-256.536924,1957.606050,119.776951,1.081840,1.073147
9,"鲁高乡特",48,"鲁沂南特","2",-1956.838927,-256.536924,1957.606050,119.776951,1.081840,1.073147
10,"鲁昌乐特",57,"鲁广固特","1",-1956.791812,-339.368837,1957.950526,120.604759,1.090685,1.073683
10,"鲁昌乐特",57,"鲁广固特","2",-1956.791812,-339.368837,1957.950526,120.604759,1.090685,1.073683
11,"冀辛安",21,"鲁聊城","1",751.239768,-83.310138,-745.611088,9.120885,0.829946,0.820755
11,"冀辛安",21,"鲁聊城","2",748.760232,-80.993983,-743.337005,6.613776,0.826962,0.818223
12,"鲁泉城",16,"鲁惠民","1",194.177451,-38.166167,-194.094179,-17.492024,0.217792,0.214458
12,"鲁泉城",16,"鲁惠民","2",194.177451,-38.166167,-194.094179,-17.492024,0.217792,0.214458
12,"鲁泉城",20,"鲁闻韶","1",-203.346086,6.527515,203.462716,-75.068368,0.223909,0.239149
12,"鲁泉城",20,"鲁闻韶","2",-203.346086,6.527515,203.462716,-75.068368,0.223909,0.239149
12,"鲁泉城",27,"鲁龙山","1",216.510241,-30.598308,-216.373957,-41.088257,0.240649,0.242622
12,"鲁泉城",27,"鲁龙山","2",216.510241,-30.598308,-216.373957,-41.088257,0.240649,0.242622
12,"鲁泉城",90,"鲁高青","1",54.428093,-34.149742,-54.419773,-38.141014,0.070715,0.073158
12,"鲁泉城",90,"鲁高青","2",54.428093,-34.149742,-54.419773,-38.141014,0.070715,0.073158
13,"鲁济南",26,"鲁蟠龙","1",112.091256,98.273843,-112.061925,-118.560717,0.164171,0.180047
13,"鲁济南",27,"鲁龙山","1",890.361182,-35.880620,-889.168278,23.425153,0.981344,0.979869
13,"鲁济南",63,"鲁淄博","1",-38.896394,0.368708,38.915725,-71.957086,0.042838,0.090312
13,"鲁济南",63,"鲁淄博","2",-38.256044,7.322865,38.276333,-64.657418,0.042896,0.082950
14,"鲁华德",15,"鲁陵县","1",1026.974489,-28.869885,-1022.963048,68.773169,1.129896,1.129896
14,"鲁华德",17,"鲁贝州","1",473.025511,23.888275,-472.371721,-50.719148,0.520889,0.523809
15,"鲁陵县",16,"鲁惠民","1",316.858639,-93.377089,-315.903653,1.999151,0.364040,0.347646
15,"鲁陵县",18,"鲁德州","1",-179.447796,-39.698040,179.512859,-10.542014,0.202541,0.197971
15,"鲁陵县",18,"鲁德州","2",-179.447796,-39.698040,179.512859,-10.542014,0.202541,0.197971
16,"鲁惠民",91,"鲁博厂","1",-255.707989,-73.215104,256.357727,-88.529820,0.292703,0.298040
17,"鲁贝州",18,"鲁德州","1",290.736857,-83.663096,-290.245296,26.975712,0.333561,0.320916
17,"鲁贝州",19,"鲁柴府","1",-197.565135,-17.617756,197.651720,-37.747957,0.218691,0.221875
18,"鲁德州",20,"鲁闻韶","1",440.219579,-10.985670,-439.597755,-24.196591,0.484800,0.485494
19,"鲁柴府",20,"鲁闻韶","1",361.999920,-73.646781,-361.327743,-43.089901,0.407328,0.401272
19,"鲁柴府",21,"鲁聊城","1",-932.551639,1.494737,934.652511,-16.688875,1.028260,1.028935
20,"鲁闻韶",21,"鲁聊城","1",-804.324497,11.815087,809.178486,-60.530486,0.887052,0.893150
20,"鲁闻韶",26,"鲁蟠龙","1",-36.675437,-20.591860,36.684691,-51.517386,0.046382,0.069799
21,"鲁聊城",22,"鲁聊厂","1",55.623824,-22.299001,-55.619501,7.793110,0.065962,0.061811
21,"鲁聊城",25,"鲁长清","1",816.193271,-35.943428,-812.586971,-25.594875,0.899254,0.898469
22,"鲁聊厂",23,"鲁聊城南","1",418.019641,34.851835,-417.625703,-83.249307,0.461652,0.470490
22,"鲁聊厂",23,"鲁聊城南","2",418.019641,34.851835,-417.625703,-83.249307,0.461652,0.470490
22,"鲁聊厂",24,"鲁东阿","1",519.580219,-9.240745,-518.278377,-47.530989,0.571919,0.575019
23,"鲁聊城南",24,"鲁东阿","1",214.775703,-50.600693,-214.621853,-31.554041,0.243791,0.239672
23,"鲁聊城南",24,"鲁东阿","2",214.775703,-50.600693,-214.621853,-31.554041,0.243791,0.239672
24,"鲁东阿",25,"鲁长清","1",535.922083,-49.360929,-534.963781,9.786258,0.594615,0.591309
25,"鲁长清",26,"鲁蟠龙","1",383.765943,-77.373265,-383.134241,13.666581,0.432650,0.423111
25,"鲁长清",26,"鲁蟠龙","2",423.584809,-78.118117,-422.888525,22.311523,0.476015,0.467366
27,"鲁龙山",34,"鲁泰山","1",304.916192,-90.548639,-304.464755,-25.747038,0.350401,0.335895
28,"鲁菏泽",31,"鲁桂陵","1",413.899867,-63.447313,-413.811530,52.665684,0.463237,0.461312
28,"鲁菏泽",31,"鲁桂陵","2",413.899867,-63.447313,-413.811530,52.665684,0.463237,0.461312
29,"鲁枣庄",30,"鲁枣庄市","1",376.864119,-18.944133,-376.807248,8.838220,0.414933,0.414467
29,"鲁枣庄",30,"鲁枣庄市","2",376.864119,-18.944133,-376.807248,8.838220,0.414933,0.414467
29,"鲁枣庄",37,"鲁新泰","1",97.002944,-4.995491,-96.976207,-63.412027,0.106808,0.127668
29,"鲁枣庄",37,"鲁新泰","2",97.002944,-4.995491,-96.976207,-63.412027,0.106808,0.127668
29,"鲁枣庄",46,"鲁峄城","1",-156.991375,-59.878069,157.071312,-21.482390,0.184763,0.174000
29,"鲁枣庄",46,"鲁峄城","2",-156.991375,-59.878069,157.071312,-21.482390,0.184763,0.174000
30,"鲁枣庄市",42,"鲁金乡","1",388.034313,-51.979989,-387.477244,-33.182028,0.430510,0.427920
30,"鲁枣庄市",42,"鲁金乡","2",388.034313,-51.979989,-387.477244,-33.182028,0.430510,0.427920
30,"鲁枣庄市",54,"鲁沂蒙","1",-337.354130,-49.516462,338.277257,-63.227529,0.374943,0.377681
31,"鲁桂陵",32,"鲁郓城","1",194.336977,-92.724777,-194.152936,29.631109,0.238120,0.216544
31,"鲁桂陵",32,"鲁郓城","2",198.043803,-93.524400,-197.852512,31.770823,0.242203,0.220939
31,"鲁桂陵",40,"鲁润泽","1",-185.257719,-101.882191,185.424926,42.253976,0.233808,0.209253
32,"鲁郓城",33,"鲁岱宗","1",203.072790,-85.618841,-202.811551,-74.712964,0.242987,0.238509
32,"鲁郓城",34,"鲁泰山","1",-31.922756,-137.117392,31.941086,-91.164085,0.155223,0.106191
32,"鲁郓城",40,"鲁润泽","1",-473.683186,-29.350485,474.472594,-13.453756,0.523266,0.522271
32,"鲁郓城",44,"鲁汶上","1",-400.461401,-72.715214,401.093984,-3.467953,0.448753,0.440948
33,"鲁岱宗",34,"鲁泰山","1",-529.888449,-95.387036,530.717911,29.142048,0.594139,0.584301
34,"鲁泰山",35,"鲁淄川","1",-264.630199,-66.631799,265.141732,-40.234725,0.299990,0.293839
34,"鲁泰山",35,"鲁淄川","2",-267.228338,-65.978078,267.749938,-39.687847,0.302587,0.296577
34,"鲁泰山",36,"鲁儒林","1",-63.358185,32.352205,63.392097,-94.480647,0.078205,0.125514
34,"鲁泰山",44,"鲁汶上","1",-130.488760,-47.975671,130.613849,-68.340262,0.152835,0.162054
34,"鲁泰山",44,"鲁汶上","2",-130.488760,-47.975671,130.613849,-68.340262,0.152835,0.162054
35,"鲁淄川",65,"鲁管仲","1",-439.026810,31.884162,439.589986,-67.542684,0.482305,0.487673
35,"鲁淄川",65,"鲁管仲","2",-439.026810,31.884162,439.589986,-67.542684,0.482305,0.487673
35,"鲁淄川",84,"鲁滨州","1",-315.186570,0.438744,315.921975,-128.009704,0.345348,0.375494
37,"鲁新泰",38,"鲁鲁中","1",-775.136063,28.602241,777.872106,-66.747670,0.854654,0.860180
38,"鲁鲁中",39,"鲁莱厂","1",-748.649718,-10.285779,750.000000,-6.153080,0.824912,0.824805
